fid,sisid,sci_name,presence,origin,seasonal,source,compiler,yrcompiled,data_sens,sens_comm,dist_comm,tax_comm,generalisd,version,yrmodified,citation,Shape_Length,Shape_Area
692,22692543,Crex crex,1,1,2,"BirdLife International, 2002; Flint, 1984; Cramp, 1997; del Hoyo et al 1996; Martí & del Moral, 2003; BirdLife International, 2004; Estrada et al, 2004; Kirwan et al, 2008; Porter & Aspinall, 2010; Balmer et al. 2013",Lynda Donaldson; Andy Symes (BirdLife International),2016,0,, , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,1147.63413,1718.660323
693,22683199,Dacelo gaudichaud,1,1,1,"Strange, 2001; del Hoyo et al, 2001; Dickinson & Remsen, 2013","Rob Martin, Simon Mitchell (BirdLife International)",2016,0,, , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,261.903443,54.80764927
694,22684431,Crotophaga major,1,1,1,"Ridgely, 2002; Ridgely & Greenfield. 2001","Rob Martin (BirdLife International), WWF-US, 2000; NatureServe, 2002",2020,0,, , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,350.4800233,1008.20005
695,22678176,Crypturellus obsoletus,1,1,1,"Ridgely, 2002; Hilty, 2003; Rodriguez Mata et al, 2006; van Perlo, 2009, McMullan et al, 2010;","WWF-US, 2000; NatureServe, 2002; Lynda Donaldson (BirdLife International)",2016,0,, , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,172.3877722,159.2245058
696,22678182,Crypturellus undulatus,1,1,1,"Ridgely, 2002; Restall et al, 2006; Rodriguez Mata et al, 2006; van Perlo, 2009; SACC, 2013","WWF-US, 2000; NatureServe, 2002; Lynda Donaldson (BirdLife International)",2016,0,, , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,182.8345393,706.4325213
697,22683893,Cuculus rochii,1,1,3,"del Hoyo et al., 1997; Stevenson and Fanshawe, 2002; Payne, 2005",Joe Taylor (BirdLife International),2016,0,, , ,0,2022.1,2010,BirdLife International and Handbook of the Birds of the World,240.6374339,173.6314294
698,22683893,Cuculus rochii,1,1,1,"del Hoyo et al., 1997; Safford and Hawkins, in prep.",Joe Taylor; Rado Andriamasimanana (BirdLife Internationa,2016,0,, , ,0,2022.1,2011,BirdLife International and Handbook of the Birds of the World,61.93914368,49.55382937
699,22679862,Cygnus columbianus,1,1,4,"Sibley, 2000","NatureServe, 2005",2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,2.704916181,0.057940507
700,22679862,Cygnus columbianus,1,1,3,"Howell and Webb, 1995","NatureServe, 2005",2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,268.3263725,70.58945982
701,22679862,Cygnus columbianus,1,1,2,"Poole and Gill, 1992-2002","NatureServe, 2005",2016,0,, , ,0,2022.1,2006,BirdLife International and Handbook of the Birds of the World,1333.587551,286.0813127
702,22679846,Cygnus melancoryphus,1,1,2,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2008,BirdLife International and Handbook of the Birds of the World,94.25224627,42.25144092
703,22679846,Cygnus melancoryphus,1,1,3,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2008,BirdLife International and Handbook of the Birds of the World,132.453667,237.2326579
704,22679846,Cygnus melancoryphus,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2008,BirdLife International and Handbook of the Birds of the World,546.8712884,83.93554956
705,22679763,Dendrocygna viduata,1,1,1,"Ridgely, 2002; van Perlo, 2009; Neotropical Birds Online","NatureServe, 2002; Joe Taylor (BirdLife International)",2016,0,, , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,362.3697611,729.4281724
706,22682249,Cyphos macrodactylus,1,1,1,"Ridgely, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,70.75560272,272.0036502
707,22681124,Dendrocopos major,1,1,1,"Fry, 1988; Porter, 1996; Flint, 1984; Cramp, 1997; del Hoyo et al 2002, Mackinnon and Phillips 2000, Winkler 1995, Robson 2008; McDevitt, et al. 2011",Rob Martin (BirdLife International),2016,0,, , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,2225.769695,3248.197298
708,22679763,Dendrocygna viduata,1,1,1,"HBW Vol. 1; Kear, 2005; Stiles & Skutch, 1989; del Hoyo et al, 1992; Ridgley, 2003; Langrand, 1990; Brown, 1982",BirdLife International,2016,0,, , ,0,2022.1,2013,BirdLife International and Handbook of the Birds of the World,672.434149,1586.148006
709,22680963,Dendropicos fuscescens,1,1,1,"Fry, 1988; Borrow and Denny 2007, del Hoyo et al 2002, Barrow et al 1997; Portier, 2008",Rob Martin (BirdLife International),2016,0,, , ,0,2022.1,2014,BirdLife International and Handbook of the Birds of the World,515.4905978,1069.40045
710,22687035,Doryfera ludovicae,1,1,1,"Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,0.484080856,0.013779474
711,22687035,Doryfera ludovicae,1,1,1,"Ridgely and Gwynne, 1989; Zook, 2002","NatureServe, 2002",2016,0,, , ,0,2022.1,2002,BirdLife International and Handbook of the Birds of the World,18.58951707,1.051887009
