"","x"
"851","Geothlypis aequinoctialis"
"852","Elaenia chilensis"
"853","Zenaida auriculata"
"854","Elaenia flavogaster"
"855","Capsiempis flaveola"
"856","Dendrocolaptes platyrostris"
"857","Myiarchus tuberculifer"
"858","Myiodynastes maculatus"
"859","Pitangus sulphuratus"
"860","Elaenia spectabilis"
"861","Contopus sordidulus"
"862","Cyanistes teneriffae"
"863","Pheucticus melanocephalus"
"864","Griseotyrannus aurantioatrocristatus"
"865","Euscarthmus meloryphus"
"866","Molothrus bonariensis"
"867","Polioptila dumicola"
"868","Pyrocephalus rubinus"
"869","Sicalis flaveola"
"870","Sublegatus modestus"
"871","Suiriri suiriri"
"872","Tyrannus savana"
"873","Empidonax oberholseri"
"874","Schistochlamys ruficapillus"
"875","Empidonomus varius"
"876","Emberiza spodocephala"
"877","Phylloscopus nitidus"
"878","Leiothrix lutea"
"879","Saxicola torquata"
"880","Otus scops"
"881","Emberiza tristrami"
"882","Enicurus ruficapillus"
"883","Entomodestes leucotis"
"884","Erythrura viridifacies"
"885","Erpornis zantholeuca"
"886","Euaegotheles insignis"
"887","Eubucco versicolor"
"888","Euphonia chlorotica"
"889","Tolmomyias sulphurescens"
"890","Hylocharis chrysura"
"891","Eutoxeres aquila"
"892","Phaethornis guy"
"893","Euphonia violacea"
"894","Euphonia laniirostris"
"895","Arremon aurantiirostris"
"896","Chrysuronia oenone"
"897","Falco deiroleucus"
"898","Turdus merula"
"899","Cettia diphone"
"900","Ficedula westermanni"
"901","Ficedula zanthopygia"
"902","Hypsipetes parvirostris"
"903","Cinnyris comorensis"
"904","Mystacornis crossleyi"
"905","Newtonia amphichroa"
"906","Oxylabes madagascariensis"
"907","Formicarius analis"
"908","Formicivora grisea"
"909","Formicivora rufa"
"910","Formicarius rufipectus"
"911","Drymophila squamata"
"912","Formicivora serrana"
"913","Zosterops maderaspatanus"
"914","Coracopsis vasa"
"915","Furnarius leucopus"
"916","Furnarius rufus"
"917","Galbula albirostris"
"918","Myiobius barbatus"
"919","Saxicola caprata"
"920","Gallus gallus"
"921","Trochalopteron fairbanki"
"922","Babax lanceolatus"
"923","Galbula ruficauda"
"924","Manacus manacus"
"925","Tachyphonus coronatus"
"926","Geotrygon frenata"
"927","Mecocerculus leucophrys"
"928","Pipra chloromeros"
"929","Geospiza fuliginosa"
"930","Zoothera sibirica"
"931","Setophaga citrina"
"932","Passerina amoena"
"933","Iridosornis analis"
"934","Psarocolius angustifrons"
"935","Psarocolius decumanus"
"936","Icteria virens"
"937","Saltator maxillosus"
"938","Phaethornis philippii"
"939","Glaucidium brodiei"
"940","Glyphorynchus spirurus"
"941","Gorsachius goisagi"
"942","Grallaria andicolus"
"943","Grallaria blakei"
"944","Grallaria carrikeri"
"945","Grallaria guatimalensis"
"946","Grallaria quitensis"
"947","Grallaria squamigera"
"948","Grus americana"
"949","Acrocephalus schoenobaenus"
"950","Acrocephalus paludicola"
